Tweets;polaridad
*678, DDD y Barone. *Urtubey y el premio al más impresentable del país. *¿Vidal va a laburar por primera vez en su vida? *Juliana Awada tiene un renault mod 2013.;AMBIGUO
*conversación con mi abuelo* -Te tengo que pasar mi dni para que me averigues donde voto -Para qué? Para que votes a Macri? -Voto a Lavagna -Ah bueno pasamelo - (dni) -A eso le faltan cómo 3 números señorr.;NEGATIVO
*Incomodidad;AMBIGUO
"""boletas nefastas"" *se levantan todos* hay uno solo que no se levantó, el profesor, el pelado, jose luis espert)?";NEGATIVO
..atreves hacer comparaciones sin matizes entre Kirchner y López Obrador, muestra que eres ignorante, soberbio y manipulador, sabes bien que el pri y el pan fueron fábrica de pobres y de corrupción, nunca vi utilizar tu derecho de crítica con EPN, Calderón y Fox, ¡Mentecato!;NEGATIVO
Jajajaja...Naaa ..no votó Peronchos ..y está Pichetto...;NEGATIVO
..son mugre no los queremos kukasssss;NEGATIVO
"""Cuando se vaya Macri.Cdo ésto haya pasado"".Se replica en millones de argentinxs.Habrá llegado el momento de ponernxs la ""Patria al hombro"".";AMBIGUO
"....sería de agradecer que ladrones como Macri y la cría ""infiltrada"" , así como arribistas advenedizos como vos vuelvan a las cavernas...";NEGATIVO
"....sería de agradecer que ladrones como Macri y la cría ""infiltrada"" , así como arribistas advenedizos como vos vuelvan a las cavernas...";NEGATIVO
....sigue... Decia a Mauricio Macri cuando asumió con múltiples causas .sobre la incapacidad de alguien creo y está demostrado como económicamente está este país ahora y como estaba antes mí estimado @juansolervalls ..y sobre los funcionarios corruptos..veremos cuando finalice mm;NEGATIVO
|???????????| NO SEAS IDIOTA, NO VOTES A MACRI |???????????| (\__/) || (•?•) || / ?;NEGATIVO
"¡¡¡!!! ¿Alguien puede decirme dónde karajos está la lokalidad de ""Competidores"" para ke resida el Gato Hijo de Puta de @mauriciomacri? ¡¡¡!!! Después de Pepe Biondi y The Three Stooges, nadie me había hecho reir así...";NEGATIVO
"¡¡¡!!! ¿Alguien puede decirme dónde karajos está la lokalidad de ""Competidores"" para ke resida el Gato Hijo de Puta de @mauriciomacri? ¡¡¡!!! Después de Pepe Biondi y The Three Stooges, nadie me había hecho reir así...";NEGATIVO
¡¡CHE SORETE LUCÍA!! ¿TE ESTABAS MIRANDO AL ESPEJO? LLAMATE AL SILENCIO VIEJA DE MIERDA.ASCO NOS DAS A LOS ARGENTINOS Y A LOS HERMANOS ESPAÑOLES.SOS VOMITIVA,NAUSEABUNDA, BLASFEMA Y HEREJE.SACATE EL HÁBITO. DEBERÍAN METERTE UN BOLEO EN EL OJETE Y SALIR DE LA IGLESIA.SALUDOS DE;NEGATIVO
¡¡Hay un nuevo artículo en el blog y es el número 200!! https://www.miplanbe.es/la-manifestacion/ … Hoy te hablo del poder de la manifestación y de cómo la experimento yo. ¡Feliz domingo! #blog #despertar #manifestación #escriturapic.twitter.com/YqTyd0LVJP;AMBIGUO
